id,cx,cy,beta_p,coverage
74,8605.2,6563.9,0.9085,2
75,4807.4,-13543.6,0.6424,4
76,19977.3,11735.6,-0.5185,4
77,12492.5,12431.4,1.4580,8
78,-39471.2,17137.7,-1.0808,3
79,19428.4,-31701.8,1.2860,3
80,13011.9,44837.0,1.2883,4
81,4669.7,38381.9,1.0184,6
82,-18208.9,-20988.8,-0.6964,7
83,34244.8,-1333.2,3.2845,5
84,1134.1,-14027.0,-0.4348,5
85,-5552.6,34063.0,-1.4248,2
86,23035.6,-20427.9,-1.7571,6
87,-18990.2,-27374.1,-0.3828,3
88,26497.3,-13535.6,-0.2555,7
89,-1952.4,-12193.1,-1.1470,9
90,-41648.1,8886.7,3.8954,4
91,-21179.5,-16745.0,-1.7828,9
92,12254.9,-2158.9,-0.8121,6
93,11140.8,23683.7,1.6100,6
94,-8815.6,-17111.8,0.8088,8
95,-7094.9,27475.2,-0.2308,3
96,11695.6,5484.0,0.2195,4
97,7994.8,38561.5,-0.5582,4
98,-19425.8,15892.4,2.9107,2
99,4098.0,38488.4,2.8323,7
100,24663.7,-8262.5,0.5319,4
101,25238.4,20446.8,0.8783,5
102,4116.3,13855.1,-0.2182,3
103,20488.4,-1488.0,-0.8661,1
104,29968.2,19361.8,-1.0287,5
105,-26693.8,-25311.5,1.7173,3
106,32817.4,676.8,0.0699,3
107,-24309.3,-28160.3,1.0180,2
108,11850.4,38450.6,-0.4229,4
109,14890.2,-29001.7,-0.9023,4
110,-12691.3,30483.4,-0.2936,5
111,-9370.6,-25130.0,0.1391,4
112,-21845.9,20981.0,1.4471,3
113,7463.7,214.3,0.6809,4
114,39464.6,-6825.9,1.5482,1
115,35571.8,25367.2,2.7058,11
116,10652.1,-15795.3,-0.0181,2
117,2800.7,-7819.7,1.2473,4
118,22490.9,-1988.9,0.6197,3
119,25176.5,-8421.5,1.3207,6
120,-4717.5,13745.9,-0.9178,7
121,25329.6,-25725.4,0.7979,2
122,27683.2,-26179.4,-0.2152,3
123,-17238.6,-27939.9,0.1616,2
124,19484.3,-25719.1,-0.3700,1
125,30556.2,11725.9,2.1184,9
126,-15234.7,39004.3,-0.0188,3
127,-10361.6,3616.7,0.6596,4
128,8985.2,-17411.4,-1.2627,4
129,21970.9,32417.8,0.6817,4
130,-21670.2,32064.4,3.1845,4
131,-14577.1,31731.8,-0.2539,2
132,-35458.1,23357.8,-0.7782,3
133,20153.0,5722.6,0.8946,3
134,5447.5,-22627.9,-0.6762,3
135,-11215.2,-28013.2,0.3355,5
136,8631.8,-16739.0,0.0975,2
137,-16685.0,-30253.4,0.7364,3
138,31005.1,-4613.4,1.5978,2
139,-19609.6,26113.3,-0.2520,2
140,-16284.4,-22363.7,-1.5183,8
141,-26164.5,-21179.7,-2.7517,4
142,35430.6,21370.5,-0.2775,8
143,30110.1,-11392.4,-0.9350,2
144,17175.1,-30087.4,-0.0200,1
145,-11043.2,-32236.9,0.1291,1
146,5162.3,28296.7,0.0179,3
147,12204.7,41415.3,0.1736,6
148,23969.3,-21640.8,0.3041,3
149,22782.7,-28084.2,-1.6826,4
150,10726.3,4696.0,2.2215,4
151,-40444.5,-11016.9,0.4420,3
152,-11513.7,-25681.7,-0.0062,7
153,25633.4,12399.0,-0.1278,2
154,-5521.9,-27773.2,-0.9739,9
155,-32177.0,20864.3,0.1439,2
156,-9952.3,669.3,1.3576,3
157,-33392.7,18757.0,1.0374,3
158,-39016.9,16359.0,-0.0654,6
159,11218.8,42063.5,4.4483,3
160,-9647.7,27910.7,-1.5060,4
161,29313.7,-24519.6,2.0218,6
162,32826.4,-14052.1,-1.5352,4
163,7087.0,-18230.6,0.3919,5
164,24737.7,8530.9,-1.7859,4
165,17882.0,-32417.2,-0.0277,2
166,-34959.5,25184.3,0.0397,1
167,-16945.2,-23387.6,-0.9415,3
168,-20522.2,-26237.2,0.7702,2
169,-10013.0,-26271.1,0.1401,2
170,-9483.8,27397.9,-1.0804,3
171,-10679.4,-2764.3,-0.0337,2
172,5268.0,-15332.8,-0.0100,2
173,6022.2,-20288.6,-0.6388,2
174,26841.2,7158.7,0.1564,3
175,25594.8,1542.8,0.6682,1
176,26772.2,-21300.5,-1.7272,3
177,-40374.8,-8667.8,0.7828,2
178,-21388.6,-28451.3,2.4264,1
179,36846.7,-14170.3,-0.8823,3
180,14459.1,6016.8,-0.6171,2
181,22103.6,-20519.6,-0.5516,1
182,12812.4,37014.6,0.1154,4
183,25792.1,-8837.9,2.6681,2
184,-17372.3,-28711.0,2.2609,2
185,-41652.6,9398.7,0.6552,2
186,-6773.6,310.1,-0.7420,7
187,-9183.3,-24779.6,0.5341,7
188,17739.1,38459.2,-1.2756,7
189,7436.6,36178.6,-0.7274,6
190,18899.8,-32182.1,-0.1901,2
191,-9923.5,-26930.1,-0.7286,2
192,-12544.3,-24840.3,0.1021,4
193,7686.8,29444.0,1.5437,4
194,-3279.5,-10121.0,0.4488,3
195,-18134.6,21548.3,-0.4489,2
196,8545.8,14967.5,4.8026,4
197,10220.6,8818.9,0.2008,2
198,15343.7,7776.4,2.0670,2
199,-13856.1,-23860.7,-0.1445,4
200,-27205.1,23286.0,-1.2282,6
201,14671.3,6813.4,0.0285,2
202,9339.4,30695.7,0.0317,9
203,26255.3,5844.2,2.9156,2
204,-27874.4,22380.2,-1.6200,2
205,-15203.9,38656.5,2.9740,1
206,24995.5,-26282.4,-0.9534,3
207,22620.0,-32053.8,0.3505,1
208,2883.0,4677.7,0.0639,3
209,-40428.3,2076.8,-1.1310,2
210,2586.5,30286.4,3.0799,3
211,-24068.8,-27999.8,0.3732,2
212,31917.1,-7961.0,0.1887,3
213,-10446.5,-28797.3,0.3788,1
214,5311.1,-16114.8,0.9145,1
215,39913.4,-5635.8,0.2018,1
216,-19909.8,26312.1,-0.9227,4
217,-19136.2,-28983.1,0.2630,1
218,-10693.8,-27969.9,0.7973,3
219,-309.5,36684.4,1.4253,7
220,31506.0,-4187.0,1.6019,3
221,-31351.0,-4829.5,0.5553,5
222,-18060.9,-18028.0,-1.2864,2
223,3900.0,39630.6,-1.5366,2
224,25484.5,-11075.4,-0.0565,1
225,26849.3,-12296.7,-0.2409,2
226,27282.8,-12222.4,0.0032,2
227,1721.1,-12917.5,1.7965,2
228,-40995.4,23022.5,1.8695,2
229,-39010.1,874.6,-0.2915,3
230,29907.4,-20967.6,-0.9374,4
231,31529.5,-3778.5,-0.2207,3
232,-16165.5,38340.9,0.4192,2
233,12876.5,12577.4,-1.2384,7
234,36771.0,-12174.4,-0.0542,1
235,38628.4,-6843.1,0.7443,1
236,31902.2,28075.6,1.3461,11
237,1628.4,21610.9,2.1650,10
238,6594.8,43863.5,-0.6448,2
239,-38019.7,19242.1,4.2697,4
240,15998.3,-30627.8,0.4513,1
241,29024.9,-22205.0,-0.1654,7
242,-12064.0,-24604.5,0.7161,2
243,3336.9,-25477.6,0.1098,4
244,22751.8,27428.2,0.1476,7
245,21937.2,-17992.5,-0.8110,3
246,-19444.6,25732.3,-0.9642,4
247,7451.9,29933.5,0.0850,8
248,1198.3,-7298.6,0.7230,5
249,3234.7,-18480.8,-0.1041,1
250,32966.4,-20124.2,0.7492,4
251,-13964.5,3138.9,1.9652,15
252,23426.7,-33313.1,0.3881,1
253,11457.1,4894.1,0.3950,2
254,-20399.6,-21729.2,0.7888,2
255,6822.5,7127.8,0.2825,1
256,-12682.7,2733.2,-0.6779,2
257,-14469.4,38712.8,-0.6016,2
258,-4457.6,14552.3,-0.4719,3
259,9381.4,41762.9,0.1886,1
260,4891.1,-6029.0,-1.2638,4
261,33466.1,22575.2,-0.3863,5
262,-21931.8,32416.7,-1.4971,2
263,21704.4,6843.5,-0.0709,2
264,24123.6,5589.8,0.3422,1
265,27438.2,5267.1,-0.2059,1
266,24892.6,10403.7,0.9567,5
267,30534.1,-20999.3,-1.2374,4
268,20831.9,-17854.7,1.0843,9
269,12341.4,3518.7,-0.4486,2
270,-17917.5,-20928.9,-0.0681,3
271,31548.2,28248.1,0.2400,9
272,11249.7,5636.0,0.2834,1
273,1502.4,16552.3,0.1107,2
274,28859.9,-25835.0,-0.1166,3
275,-17597.5,-23501.7,2.7117,4
276,37218.0,-8536.8,-0.2698,1
277,8962.8,1856.4,0.6573,5
278,9539.1,-2279.2,0.8508,3
279,-23591.1,34009.2,0.0056,1
280,20764.5,-24478.9,-0.2732,3
281,-41406.1,-14660.6,3.8501,5
282,17447.4,45850.4,-0.1707,1
283,37884.5,-7112.4,0.3578,4
284,36399.2,-4050.3,0.5955,1
285,22460.0,6727.9,-1.0202,2
286,-13525.0,-30148.5,-0.7537,2
287,8265.9,-19505.2,0.8230,1
288,-23681.1,31755.4,-0.4810,4
289,-5233.5,14032.4,-0.5994,2
290,-39784.7,20479.7,0.4002,1
291,34170.8,-5923.3,-0.3336,2
292,37011.0,-2369.0,0.4391,2
293,-12686.4,4508.2,0.3732,3
294,5617.0,3452.3,-0.4848,3
295,12094.0,43493.9,-0.1282,1
296,5923.8,2371.3,0.1127,1
297,-11777.4,-28738.0,0.2570,1
298,7466.4,38380.4,4.6426,2
299,28566.4,26324.0,0.1151,3
300,29744.7,-11477.3,-0.0718,2
301,-25539.5,8992.7,-2.0320,1
302,12998.6,3646.2,-0.0945,1
303,35442.2,-3345.2,-0.2141,1
304,15225.4,-29742.2,1.5717,3
305,17990.3,-30067.1,0.4769,1
306,-7688.8,1658.0,0.8312,1
307,15262.5,-28546.5,1.0106,2
308,-39031.3,-8621.9,3.3168,6
309,-7688.0,-27814.0,1.2315,4
310,26139.4,5103.2,-0.5192,1
311,13477.4,-7284.8,-0.8070,3
312,10967.2,22100.4,-0.2770,4
313,29635.0,-12015.9,-0.6192,1
314,7724.3,-19471.5,0.1501,1
315,4152.6,-16811.1,0.2164,1
316,-19980.0,29256.5,-0.6088,2
317,-17190.4,17522.8,0.3978,1
318,16052.4,-31874.8,-1.0588,2
319,-14844.9,29562.4,0.1410,2
320,11187.4,4354.8,0.3273,1
321,-15420.4,-29176.3,1.5287,3
322,25195.4,42129.9,0.0598,1
323,-16357.3,-32539.8,0.2300,1
324,24738.5,19249.4,-0.1778,2
325,28994.9,25144.1,1.5474,4
326,29961.0,-12200.9,0.4386,1
327,1916.1,-11753.1,2.5045,4
328,-19616.5,29548.5,-0.4241,2
329,10813.0,29682.2,-0.0231,4
330,-546.3,25352.4,1.5158,5
331,24171.5,-20480.5,1.7839,8
332,22469.6,-20413.4,-0.2266,5
333,21117.9,-28900.0,0.1392,1
334,20003.1,-33000.6,0.5296,1
335,3787.2,6488.0,0.1030,2
336,-27732.6,-5410.9,0.4680,9
337,-42425.0,20637.8,3.5492,1
338,-39036.3,23941.4,0.3272,2
339,8000.7,40667.0,0.5241,2
340,-14122.7,-28337.2,0.9446,3
341,-22648.6,-20437.6,-0.6777,1
342,4773.9,42003.7,-0.8875,1
343,10059.6,38150.6,0.4567,3
344,9936.0,-18649.4,1.0527,1
345,-100.9,-10534.7,0.2849,4
346,4818.5,36210.9,1.6078,10
347,8104.4,37980.8,0.1586,1
348,21665.1,-26257.9,-0.5822,2
349,27117.3,4308.2,1.4014,1
350,14208.2,-27534.2,-0.5299,1
351,13148.5,-14958.8,-1.5406,6
352,24295.1,3840.8,0.9571,2
353,34709.8,6951.3,-0.8716,4
354,-7592.8,2613.3,0.2720,1
355,-15407.3,-917.4,-0.3722,1
356,2707.5,-33972.8,-0.2747,3
357,21716.5,-18903.1,0.1441,2
358,-94.6,12593.0,0.6280,3
359,13455.4,4257.0,-0.7465,3
360,-36650.1,18817.9,1.9311,4
361,17646.0,38684.3,0.3171,3
362,4036.7,32727.5,2.2226,4
363,-8611.1,-4480.9,-1.0445,2
364,-13732.8,322.7,1.1461,2
365,9235.9,806.6,1.4403,1
366,8164.3,37540.6,-0.9301,2
367,28163.8,26241.5,1.6868,7
368,28336.2,-14228.6,0.8970,1
369,-16520.6,15957.6,1.6818,3
370,-19328.9,19811.0,-0.3946,2
371,-30106.0,5661.6,1.2291,5
372,7388.6,20249.2,0.1012,6
373,12026.2,28019.2,0.6264,2
374,21355.4,18623.5,-0.0144,1
375,4891.8,16082.4,-1.1662,3
376,-35879.3,5522.6,0.0312,9
377,33545.4,10154.8,0.1886,2
378,37782.9,-12397.9,-0.6424,3
379,16760.4,-30922.4,-0.0769,1
380,-6322.5,36905.3,-0.0810,3
381,10684.8,-2620.6,3.5504,4
382,-8963.5,-2055.2,-0.1159,1
383,-1678.4,7783.8,-0.6360,3
384,11170.2,-990.6,0.0192,2
385,29226.0,-27602.8,0.3794,3
386,14010.5,-28615.4,3.4330,5
387,-19160.5,33246.5,1.4194,5
388,-34546.8,-7857.6,1.6968,5
389,-6816.0,-19197.7,4.2303,6
390,-39764.9,21361.0,-0.0263,1
391,21013.9,-2052.2,-0.0402,1
392,13269.1,2514.1,-0.3181,2
393,18614.0,20969.9,-0.7525,4
394,21059.7,32013.6,-0.3998,2
395,-22319.6,12687.1,0.6054,5
396,259.5,12395.4,0.1221,3
397,5171.6,-22457.2,-0.2261,2
398,2835.8,43973.2,-0.3977,2
399,2663.8,32320.3,-1.2603,3
400,6801.1,44049.0,-0.2071,2
401,32822.7,-11166.6,0.9726,2
402,17258.2,-27969.1,0.8951,2
403,-10942.9,26506.5,-0.9479,7
404,-14166.2,32085.1,2.5646,1
405,-23361.1,34211.0,3.3914,5
406,8237.9,6311.4,-0.4366,2
407,-35854.4,20934.8,1.3180,4
408,10706.4,43996.4,-0.0877,1
409,-22157.8,-18362.5,0.8548,3
410,25236.5,-4375.0,-1.3179,6
411,10910.5,22990.3,-0.0934,1
412,24256.3,-8107.7,1.2631,1
413,-21986.1,30134.6,-0.1596,2
414,-16465.1,19206.2,0.9571,4
415,-20931.9,18962.3,0.7765,4
416,-16114.0,15725.6,0.2873,1
417,24783.6,17205.5,-0.0048,3
418,-4864.9,14185.5,-0.6431,2
419,-46.3,18523.2,1.2124,3
420,4588.2,15400.0,-0.0066,1
421,21440.5,-18288.1,4.1781,2
422,17270.6,-6987.0,2.0558,3
423,30671.8,-12006.5,-0.4633,2
424,9043.7,-2777.1,-0.0250,1
425,11397.4,-1651.1,0.2596,2
426,-13549.1,2164.6,-0.2415,3
427,-12760.9,5060.3,1.4136,5
428,-8545.2,-7015.8,-0.1940,4
429,-30.9,1786.7,0.6100,5
430,7660.2,4002.4,-0.0155,1
431,-11697.3,-24962.3,0.2007,4
432,-11561.3,-24711.1,-0.2853,7
433,-6183.1,-18772.8,0.9501,1
434,22974.0,8131.0,-0.5828,1
435,8843.2,-40.0,0.6097,2
436,-6389.3,-33647.1,3.5314,2
437,-18217.6,-27857.7,0.3942,1
438,-7966.2,-28258.3,1.5899,2
439,26360.5,36514.2,2.0959,3
440,29152.4,-12043.2,-0.2559,2
441,12594.5,42663.1,0.2701,1
442,29255.9,25050.0,1.8022,11
443,6880.1,-16675.9,0.3757,2
444,6530.5,-16713.1,0.9053,1
445,-23461.6,32681.0,0.3869,2
446,-19244.0,18873.3,0.3568,1
447,4210.7,-4217.0,-1.1699,3
448,2367.8,-10079.7,0.6433,3
449,9530.9,2644.2,-0.0147,2
450,15450.6,-34451.4,0.2166,1
